id,isbn13,title,authors,published_year,page_count,language,description,avg_rating,rating_count,category
011,9780446577892,The Front,Patricia Daniels Cornwell,1905,200,en,"Dispatched by the district attorney to a declining Massachusetts neighborhood to address a case related to a new public relations campaign, state investigator Win Garano becomes involved with a loosely organized association of vigilante police officers.","4,9",445,Fiction
012,9780399166563,Snuff,Chuck Palahniuk,1905,350,en,A full-frontal triple-X novel that goes where no American work of fiction has gone before. A porn star intends to cap her career by breaking the record for on-screen fornication.,"3,9",916,American fiction
013,9780446580502,Phantom Prey,John Sandford,1905,392,en,"Lucas Davenport has had disturbing cases before, but never one quite like this. Filled with his brilliant trademark suspense, ""Phantom Prey"" is the shocking new novel from the #1 ""New York Times""-bestselling author.","3,8",534,American fiction
014,9780544104402,The Whole Truth,David Baldacci,1905,406,en,"While the head of the world's largest defense contractor conspires to gain even more riches by instigating a war, an intelligence agent reluctantly travels to keep the world safe, and a journalist receives a mysterious offer to interview the sole survivor","4,2",215,Fiction
015,9781476702711,Where Are You Now?,Mary Higgins Clark,2008,289,en,"As Carolyn MacKenzie unravels the mystery behind her brother's disappearance ten years ago, she confronts someone close to her that is equally determined to keep his whereabouts secret at any cost.","0,8",751,Fiction
016,9781101475454,Twenty Wishes,Debbie Macomber,1905,376,en,A widow struggles to find meaning in the life that is not at all what she expected.,"2,7",688,Fiction
017,9780061214684,Careless in Red,Elizabeth George,2008,642,en,"In her most eagerly anticipated novel yet, Elizabeth George brings back Scotland Yard's Thomas Lynley to investigate a ruthless crime. After the senseless murder of his wife, Detective Superintendent Thomas Lynley retreated to Cornwall, where he has spent six solitary weeks hiking the bleak and rugged coastline. But no matter how far he walks, no matter how exhausting his days, the painful memories of Helen's death do not diminish. On the forty-third day of his walk, at the base of a cliff, Lynley discovers the body of a young man who appears to have fallen to his death. The closest town, better known for its tourists and its surfing than its intrigue, seems an unlikely place for murder. However, it soon becomes apparent that a clever killer is indeed at work, and this time Lynley is not a detective but a witness and possibly a suspect. The head of the vastly understaffed local police department needs Lynley's help, though, especially when it comes to the mysterious, secretive woman whose cottage lies not far from where the body was discovered. But can Lynley let go of the past long enough to solve a most devious and carefully planned crime?","4,3",616,Fiction
018,9780609804193,Hold Tight,Harlan Coben,1905,442,en,"Mike and Tia Baye, worried about their sixteen-year-old son Adam, wrestle with whether to spy on his computer, and discover details about their son's friend Spencer's suicide while a killer stalks the neighborhood.",3,832,American fiction
019,9780061243585,Executive Privilege,Phillip Margolin,2008,376,en,"""New York Times""-bestselling author Margolin is back, this time with a deadly game of intrigue and murder that twists through Washington, D.C.'s, halls of power and leads straight to the White House.","3,5",212,Fiction
020,9780307338778,Unaccustomed Earth,Jhumpa Lahiri,1905,360,en,"In this collection from a Pulitzer Prize-winning author, eight dazzling stories take readers from Cambridge and Seattle to India and Thailand as each explores the secrets at the heart of family life.","1,3",699,Fiction
021,9780307589385,Netherland,Joseph O'Neill,1905,256,en,"Abandoned amid the offbeat inhabitants of the Chelsea Hotel when his English wife and son return to London following September 11th, Hans, a banker originally from the Netherlands, struggles to find himself in his adopted country, until he stumbles upon a vibrant New York cricket subculture and the charismatic Chuck Ramkissoon. 40,000 first printing.","3,8",600,Fiction
022,9780399165245,The Appeal,John Grisham,2008,376,en,"The author of such best-selling legal thrillers as A Time to Kill, The Last Juror, and The Brethren presents his latest novel of courtroom and legal suspense as he offers a provocative look at the price of American justice. 2,800,000 first printing.",4,345,Fiction
023,9780385515047,Indiana Jones and the Kingdom of the Crystal Skull,James Rollins,1905,350,en,"Daring adventurer-archaeologist Indiana Jones returns in an all new, action-packed saga, in the novelization of the fourth, long-anticipated Indiana Jones movie. 300,000 first printing. (A Lucasfilms/Paramount Pictures film, written by David Koepp from a story by George Lucas, directed by Steven Spielberg, releasing May 2008, starring Harrison Ford, Karen Allen, Cate Blanchett, Shia LeBeouf, John Hurt, Ray Winstone, & Jim Broadbent)","0,9",995,Fiction
024,9780804137898,Audition,Barbara Walters,1905,350,en,"The most important woman in the history of television journalism offers this memoir that is heartbreaking and inspiring, surprising and fun, sometimes startling, and always riveting. Illustrated.","2,4",240,Barbara Walters-biography of
025,9781481418775,"Are You There, Vodka? It's Me, Chelsea",Chelsea Handler,2008,350,en,"In a word: hilarious. . . . These are some of the funniest stories I have ever read and they're also some of the most unexpectedly heartfelt--Laura Zigman, author of ""Animal Husbandry.""","2,7",226,Biography & Autobiography
026,9780440243830,The Post-American World,Fareed Zakaria,2008,314,en,"The author of the bestselling ""The Future of Freedom"" describes a world in which the U.S. will no longer dominate the global economy. He sees the ""rise of the rest"" as the great story of our time, and one that will reshape the world.","3,5",526,Political Science
027,9780061711527,Stolen Innocence,"Elissa Wall, Lisa Pulitzer",2008,472,en,Elissa Wall is a former member of the FLDS church who was forced into marriage at age fourteen-her story.,"2,1",55,Biography & Autobiography
028,9780545132060,The Revolution,Ron Paul,2008,192,en,"This Much Is True: You Have Been Lied To. The government is expanding. Taxes are increasing. More senseless wars are being planned. Inflation is ballooning. Our basic freedoms are disappearing. The Founding Fathers didn't want any of this. In fact, they said so quite clearly in the Constitution of the United States of America. Unfortunately, that beautiful, ingenious, and revolutionary document is being ignored more and more in Washington. If we are to enjoy peace, freedom, and prosperity once again, we absolutely must return to the principles upon which America was founded. But finally, there is hope . . . In THE REVOLUTION, Texas congressman and presidential candidate Ron Paul has exposed the core truths behind everything threatening America, from the real reasons behind the collapse of the dollar and the looming financial crisis, to terrorism and the loss of our precious civil liberties. In this book, Ron Paul provides answers to questions that few even dare to ask. Despite a media blackout, this septuagenarian physician-turned-congressman sparked a movement that has attracted a legion of young, dedicated, enthusiastic supporters . . . a phenomenon that has amazed veteran political observers and made more than one political rival envious. Candidates across America are already running as ""Ron Paul Republicans."" ""Dr. Paul cured my apathy,"" says a popular campaign sign. THE REVOLUTION may cure yours as well.","1,3",818,Philosophy
029,9781457606069,A Remarkable Mother,Jimmy Carter,1905,248,en,"President Carter's admiring homage to Miss Lillian reveals her redoubtable, generous, and forward-looking nature and ascribes to her the inspiration for his own life's work of commitment and faith.","1,8",988,Biography & Autobiography
030,9781101010938,A Time to Fight,James H. Webb,1905,255,en,"Shares ideas for ending the war in Iraq, restoring fairness to the American economic system, revising national security efforts, and setting political priorities to benefit the people rather than special interests.","0,7",219,Political Science
031,9780060798710,Counselor,Ted Sorensen,2008,582,en,"In this gripping memoir, John F. Kennedy's closest advisor recounts in full for the first time his experience counseling Kennedy through the most dramatic moments in American history. Sorensen returns to January 1953, when he and the freshman senator from Massachusetts began their extraordinary professional and personal relationship. Rising from legislative assistant to speechwriter and advisor, the young lawyer from Nebraska worked closely with JFK on his most important speeches, as well as his book Profiles in Courage. Sorensen encouraged the junior senator's political ambitions—from a failed bid for the vice presidential nomination in 1956 to the successful presidential campaign in 1960, after which he was named Special Counsel to the President. Sorensen describes in thrilling detail his experience advising JFK during some of the most crucial days of his presidency, from the decision to go to the moon to the Cuban Missile Crisis, when JFK requested that the thirty-four-year-old Sorensen draft the key letter to Khrushchev at the most critical point of the world's first nuclear confrontation. After Kennedy was assassinated, Sorensen stayed with President Johnson for a few months before leaving to write a biography of JFK. In 1968 he returned to Washington to help run Robert Kennedy's presidential campaign. Through it all, Sorensen never lost sight of the ideals that brought him to Washington and to the White House, working tirelessly to promote and defend free, peaceful societies. Illuminating, revelatory, and utterly compelling, Counselor is the brilliant, long-awaited memoir from the remarkable man who shaped the presidency and the legacy of one of the greatest leaders America has ever known.","2,3",86,Biography & Autobiography
032,9781101010914,Escape,"Carolyn Jessop, Laura Palmer",1905,413,en,"A woman forced into a plural marriage as a teenager with a man thirty-two years her senior describes the years of psychological abuse she suffered, her decision to escape with her eight children, and her successful battle with the church over custody of her children.","1,7",604,Biography & Autobiography
033,9780778329312,My Stroke of Insight,Jill Bolte Taylor,1905,202,en,"The author Jill Bolte Taylor, Ph. D., a neuroanatomist, describes her massive stroke and the eight years of recovery that allowed her to return to her life.","3,1",847,Biography & Autobiography
034,9780316040341,Up Till Now,"William Shatner, David Fisher",2008,369,en,"""Up Till Now"" is the riotous, self-deprecating story of William Shatner's life, as told by the man himself. 16-page color photo insert.","4,3",961,Biography & Autobiography
035,9780060782344,Ladies of Liberty,Cokie Roberts,2008,511,en,"In Founding Mothers, Cokie Roberts paid homage to the heroic women whose patriotism and sacrifice helped create a new nation. Now the number one New York Times bestselling author and renowned political commentator—praised in USA Today as a ""custodian of time-honored values""—continues the story of early America's influential women with Ladies of Liberty. In her ""delightfully intimate and confiding"" style (Publishers Weekly), Roberts presents a colorful blend of biographical portraits and behind-the-scenes vignettes chronicling women's public roles and private responsibilities. Recounted with the insight and humor of an expert storyteller and drawing on personal correspondence, private journals, and other primary sources—many of them previously unpublished—Roberts brings to life the extraordinary accomplishments of women who laid the groundwork for a better society. Almost every quotation here is written by a woman, to a woman, or about a woman. From first ladies to freethinkers, educators to explorers, this exceptional group includes Abigail Adams, Margaret Bayard Smith, Martha Jefferson, Dolley Madison, Elizabeth Monroe, Louisa Catherine Adams, Eliza Hamilton, Theodosia Burr, Rebecca Gratz, Louisa Livingston, Rosalie Calvert, Sacajawea, and others. In a much-needed addition to the shelves of Founding Father literature, Roberts sheds new light on the generation of heroines, reformers, and visionaries who helped shape our nation, giving these ladies of liberty the recognition they so greatly deserve.","4,9",85,History
036,9780061160875,America's Hidden History,Kenneth C. Davis,2008,290,en,"The author of the ""New York Times"" bestseller ""Don't Know Much About History"" presents a collection of extraordinary stories, each detailing an overlooked episode that has shaped the nation's destiny and character.",1,345,History
037,9780307454546,The Billionaire's Vinegar,Benjamin Wallace,1905,350,en,"Suspenseful, witty, and thrillingly strange, this work delivers the vintage tale of what could be the most elaborate con since the Hitler diaries.","0,2",296,Wine and wine making
038,9781400040155,A Voyage Long and Strange,Tony Horwitz,2008,463,en,A chronicle of the period in American history between Columbus's discovery of the New World and Jamestown's founding evaluates the voyages and first-contact experiences of numerous European adventurers.,"0,1",788,Biography & Autobiography
039,9780545669931,I Am America (And So Can You!),"Stephen Colbert, Rich Dahm, Paul Dinello, Allison Silverman",2007,230,en,"The host of the popular Colbert Report show celebrates the lighter side of the modern world's most relevant issues, providing straightforward discussions of such topics as faith, politics, and how the author believes the country can reacquire its nerve. 500,000 first printing.","2,2",145,Humor
040,9781401939410,The Shack,William P. Young,1905,249,en,"Four years after his daughter is abducted and evidence of her murder is found in an abandoned shack, Mackenzie Allen Philips returns to the shack in response to a note claiming to be from God, and has a life-changing experience.","3,7",649,Fiction
041,9780465002962,The Friday Night Knitting Club,Kate Jacobs,2008,401,en,"THE #1 NEW YORK TIMES BESTSELLER Once a week, an eclectic group of women comes together at a New York City yarn shop to work on their latest projects—and share the stories of their lives... At the center of Walker and Daughter is the shop’s owner, Georgia, who is overwhelmed with juggling the store and single-handedly raising her teenage daughter. Happy to escape the demands of her life, she looks forward to her Friday Night Knitting Club, where she and her friends—Anita, Peri, Darwin, Lucie, and KC—exchange knitting tips, jokes, and their deepest secrets. But when the man who once broke Georgia’s heart suddenly shows up, demanding a role in their daughter’s life, her world is shattered. Luckily, Georgia’s friends are there for encouragement, sharing their own tales of intimacy, heartbreak, and miracle-making. And when the unthinkable happens, these women will discover that what they’ve created isn’t just a knitting club: it’s a sisterhood.","3,3",94,Fiction
042,9780061208461,The Alchemist,Paulo Coelho,2006,210,en,"""My heart is afraid that it will have to suffer,"" the boy told the alchemist one night as they looked up at the moonless sky."" Tell your heart that the fear of suffering is worse than the suffering itself. And that no heart has ever suffered when it goes in search of its dreams."" Every few decades a book is published that changes the lives of its readers forever. The Alchemist is such a book. With over a million and a half copies sold around the world, The Alchemist has already established itself as a modern classic, universally admired. Paulo Coelho's charming fable, now available in English for the first time, will enchant and inspire an even wider audience of readers for generations to come. The Alchemist is the magical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure as extravagant as any ever found. From his home in Spain he journeys to the markets of Tangiers and across the Egyptian desert to a fateful encounter with the alchemist. The story of the treasures Santiago finds along the way teaches us, as only a few stories have done, about the essential wisdom of listening to our hearts, learning to read the omens strewn along life's path, and, above all, following our dreams.","0,3",817,Fiction
043,9780231153683,The Memory Keeper's Daughter,Kim Edwards,2006,434,en,"A #1 New York Times bestseller by Kim Edwards, The Memory Keeper’s Daughter is a brilliantly crafted novel of parallel lives, familial secrets, and the redemptive power of love Kim Edwards’s stunning novel begins on a winter night in 1964 in Lexington, Kentucky, when a blizzard forces Dr. David Henry to deliver his own twins. His son, born first, is perfectly healthy, but the doctor immediately recognizes that his daughter has Down syndrome. Rationalizing it as a need to protect Norah, his wife, he makes a split second decision that will alter all of their lives forever. He asks his nurse, Caroline, to take the baby away to an institution and never to reveal the secret. Instead, she disappears into another city to raise the child herself. So begins this beautifully told story that unfolds over a quarter of a century—in which these two families, ignorant of each other, are yet bound by the fateful decision made that winter night long ago. A family drama, The Memory Keeper’s Daughter explores every mother's silent fear: What would happen if you lost your child and she grew up without you? It is also an astonishing tale of love and how the mysterious ties that hold a family together help us survive the heartache that occurs when long-buried secrets are finally uncovered.",2,367,Fiction
044,9780385486804,Loving Frank,Nancy Horan,2008,402,en,"I have been standing on the side of life, watching it float by. I want to swim in the river. I want to feel the current. So writes Mamah Borthwick Cheney in her diary as she struggles to justify her clandestine love affair with Frank Lloyd Wright. Four years earlier, in 1903, Mamah and her husband, Edwin, had commissioned the renowned architect to design a new home for them. During the construction of the house, a powerful attraction developed between Mamah and Frank, and in time the lovers, each married with children, embarked on a course that would shock Chicago society and forever change their lives. In this ambitious debut novel, fact and fiction blend together brilliantly. While scholars have largely relegated Mamah to a footnote in the life of America’s greatest architect, author Nancy Horan gives full weight to their dramatic love story and illuminates Cheney’s profound influence on Wright. Drawing on years of research, Horan weaves little-known facts into a compelling narrative, vividly portraying the conflicts and struggles of a woman forced to choose between the roles of mother, wife, lover, and intellectual. Horan’s Mamah is a woman seeking to find her own place, her own creative calling in the world. Mamah’s is an unforgettable journey marked by choices that reshape her notions of love and responsibility, leading inexorably ultimately lead to this novel’s stunning conclusion. Elegantly written and remarkably rich in detail, Loving Frank is a fitting tribute to a courageous woman, a national icon, and their timeless love story. Praise for Loving Frank: “Loving Frank is one of those novels that takes over your life. It’s mesmerizing and fascinating–filled with complex characters, deep passions, tactile descriptions of astonishing architecture, and the colorful immediacy of daily life a hundred years ago–all gathered into a story that unfolds with riveting urgency.” —Lauren Belfer, author of City of Light “This graceful, assured first novel tells the remarkable story of the long-lived affair between Frank Lloyd Wright, a passionate and impossible figure, and Mamah Cheney, a married woman whom Wright beguiled and led beyond the restraint of convention. It is engrossing, provocative reading.” —Scott Turow “It takes great courage to write a novel about historical people, and in particular to give voice to someone as mythic as Frank Lloyd Wright. This beautifully written novel about Mamah Cheney and Frank Lloyd Wright’s love affair is vivid and intelligent, unsentimental and compassionate.” —Jane Hamilton “I admire this novel, adore this novel, for so many reasons: The intelligence and lyricism of the prose. The attention to period detail. The epic proportions of this most fascinating love story. Mamah Cheney has been in my head and heart and soul since reading this book; I doubt she’ ll ever leave.” —Elizabeth Berg","3,7",277,Fiction
045,9780810994737,My Sister's Keeper,Jodi Picoult,2005,450,en,"Written with grace, wisdom, and sensitivity, this novel is about a teen who was conceived as a bone marrow match for her sister Kate, and what happens when she begins to question who she really is.","4,3",757,Fiction
046,9780544107717,The Quickie,"James Patterson, Michael Ledwidge",2008,350,en,"A one-night stand spirals into a web of dark secrets in James Patterson's steamy thriller of love, lust, and murder. Lauren Stillwell is not your average damsel in distress. When the NYPD cop discovers her husband leaving a hotel with another woman, she decides to beat him at his own game. But her revenge goes dangerously awry, and she finds her world spiraling into a hell that becomes more terrifying by the hour. In a further twist of fate, Lauren must take on a job that threatens everything she stands for. Now, she's paralyzed by a deadly secret that could tear her life apart. With her job and marriage on the line, Lauren's desire for retribution becomes a lethal inferno as she fights to save her livelihood-and her life. Patterson takes us on a twisting roller-coaster ride of thrills in his most gripping novel yet. This story of love, lust and dangerous secrets will have readers' hearts pounding to the very last page.","1,3",515,Fiction
047,9780802123145,The Pillars of the Earth,Ken Follett,1905,986,en,"""Original hardcover edition published by William Morrow and Company Inc.; previously published in a Plume edition""--T.p. verso.","2,6",850,Fiction
048,9781250144058,The Gathering,Anne Enright,1905,280,en,A large Irish family is haunted by the past -- something that happened in their grandmother's house in the winter of 1968.,2,756,Fiction
049,9781455599738,The Other Boleyn Girl (Movie Tie-In),Philippa Gregory,2008,678,en,"The daughters of a ruthlessly ambitious family, Mary and Anne Boleyn are sent to the court of Henry VIII to attract the attention of the king, who first takes Mary as his mistress, in which role she bears him an illegitimate son, and then Anne as his wife. Reprint. 250,000 first printing. (A Columbia Pictures film, written by Peter Morgan, directed by Justin Chadwick, releasing Fall 2007, starring Natalie Portman, Scarlett Johansson, Eric Bana, and others) (Historical Fiction)","3,1",795,Fiction
050,9780307590626,The Road,Cormac McCarthy,1905,287,en,"In a novel set in an indefinite, futuristic, post-apocalyptic world, a father and his young son make their way through the ruins of a devastated American landscape, struggling to survive and preserve the last remnants of their own humanity.","0,1",969,Fiction
051,9780553496673,Love Walked In,Marisa De Los Santos,2006,324,en,"From the New York Times bestselling author of Watch Us Shine comes a “bewitching, warmhearted grown-up fairy tale about old movies, charming princes, and finding happily ever after in the place where you’d least expect it” (Jennifer Weiner). When Martin Grace enters the hip Philadelphia coffee shop Cornelia Brown manages, her life changes forever. But little does she know that her newfound love is only the harbinger of greater changes to come. Meanwhile, across town, Clare Hobbs—eleven years old and abandoned by her erratic mother—goes looking for her lost father. She crosses paths with Cornelia while meeting with him at the café, and the two women form an improbable friendship that carries them through the unpredictable currents of love and life.",5,384,Fiction
052,9780553536904,The Hollow,Nora Roberts,2008,342,en,"#1 New York Times bestselling author Nora Roberts continues the thrilling trilogy of a town plagued by evil—and the three men and three women brought together by fate to fight it. For Fox, Caleb, Gage and the other residents of Hawkins Hollow, the number seven portends doom—ever since, as boys, they freed a demon trapped for centuries when their blood spilled upon The Pagan Stone… Now, as the dreaded seventh month looms before them, the men can feel the storm brewing. Already they are plagued by visions of death and destruction. But this year, they are better prepared, joined in their battle by three women who have come to The Hollow. Layla, Quinn, and Cybil are somehow connected to the demon, just as the men are connected to the force that trapped it. Since that day at The Pagan Stone, town lawyer Fox has been able to see into others’ minds, a talent he shares with Layla. He must earn her trust, because their link will help fight the darkness that threatens to engulf the town. But Layla is having trouble coming to terms with her newfound ability—and this intimate connection to Fox. She knows that once she opens her mind, she’ll have no defenses against the desire that threatens to consume them both… Don't miss the other books in the Sign of Seven Trilogy Blood Brothers The Pagan Stone","3,6",876,Fiction
053,9780762431052,The Good Guy,Dean Ray Koontz,2008,498,en,"Chatting with a nervous stranger sitting at a local bar, Timothy Carrier soon realizes that he has been mistaken for a killer-for-hire and has been given an envelope full of cash and a contract on a pretty young woman whose photograph and address accompany the money.","0,1",826,American fiction
054,9780515144598,Invisible Prey,John Sandford,2008,350,en,"“A crackling addition to [the] Prey series” (Entertainment Weekly) from #1 New York Times bestselling author John Sandford. In a wealthy Minneapolis neighborhood, two elderly women are bludgeoned to death. They are apparent victims of a random robbery, though nothing of value appears to have been stolen. But when Lucas Davenport looks deeper, he fears that the victims weren’t so random, and the items stolen were far from invaluable. As a pattern emerges it leads Lucas to…certainly not where he expected. Which is too bad, because the killers are expecting him. And that’s only the first surprise…","1,5",493,Fiction
055,9780761174424,Hide,Lisa Gardner,2008,482,en,"You have good reason to be afraid. . . . It was a case that haunts Bobby Dodge to this day—the case that nearly killed him and changed his life forever. Now, in an underground chamber on the grounds of an abandoned Massachusetts mental hospital, the gruesome discovery of six mummified corpses resurrects his worst nightmare: the return of a killer he thought dead and buried. There’s no place to run. . . . Bobby’s only lead is wrapped around a dead woman’s neck. Annabelle Granger has been in hiding for as long as she can remember. Her childhood was a blur of new cities and assumed identities. But what—or who—her family was running from, she never knew. Now a body is unearthed from a grave, wearing a necklace bearing Annabelle’s name, and the danger is too close to escape. This time, she’s not going to run. You know he will find you. . . . The new threat could be the dead psychopath’s copycat, his protégé—or something far more terrifying. Dodge knows the only way to find him is to solve the mystery of Annabelle Granger, and to do that he must team up with his former lover, partner, and friend D. D. Warren from the Boston P.D. But the trail leads back to a woman from Bobby’s past who may be every bit as dangerous as the new killer—a beautiful survivor-turned-avenger with an eerie link to Annabelle. From its tense opening pages to its shocking climax, Hide is a thriller that delves into our deepest, darkest fears. Where there is no one to trust. Where there is no place left to hide. BONUS: This edition includes a new afterword: Lights, Camera, Hide the movie!","2,1",775,Fiction
